Month,MonthlyValue
Jan-09,2765916
Feb-09,2858545
Mar-09,3202344
Apr-09,3171043
May-09,3199719
Jun-09,2980122
Jul-09,3181139
Aug-09,3092403
Sep-09,3062340
Oct-09,3153159
Nov-09,2904091
Dec-09,2780648
Jan-10,2877716
Feb-10,2856456
Mar-10,3224697
Apr-10,3199541
May-10,3262831
Jun-10,3106965
Jul-10,3330658
Aug-10,3201662
Sep-10,3123549
Oct-10,3332628
Nov-10,2933897
Dec-10,2884836
Jan-11,3126364
Feb-11,2884587
Mar-11,3406385
Apr-11,3354283
May-11,3369262
Jun-11,3324290
Jul-11,3472861
Aug-11,3290473
Sep-11,3294117
Oct-11,3422074
Nov-11,3026521
Dec-11,2957491
Jan-12,3154639
Feb-12,3069954
Mar-12,3531994
Apr-12,3324459
May-12,3451394
Jun-12,3392798
Jul-12,3443486
Aug-12,3340826
Sep-12,3353330
Oct-12,3521430
Nov-12,3102052
Dec-12,3040660
Jan-13,3132122
Feb-13,3028920
Mar-13,3536569
Apr-13,3339657
May-13,3456479
Jun-13,3363895
Jul-13,3470490
Aug-13,3370056
Sep-13,3298198
Oct-13,3471816
Nov-13,3243731
Dec-13,2956288
Jan-14,3388296
Feb-14,3131305
Mar-14,3688357
Apr-14,3456703
May-14,3566741
Jun-14,3468069
Jul-14,3547986
Aug-14,3542124
Sep-14,3345180
Oct-14,3583142
Nov-14,3288596
Dec-14,3120013
Jan-15,3391713
Feb-15,3160569
Mar-15,3624587
Apr-15,3540229
May-15,3739029
Jun-15,3552124
Jul-15,3735327
Aug-15,3599868
Sep-15,3544505
Oct-15,3784056
Nov-15,3411441
Dec-15,3228768
Jan-16,3471700
Feb-16,3328100
Mar-16,3730400
Apr-16,3544500
May-16,3592100
Jun-16,3680300
Jul-16,3827600
Aug-16,3636600
Sep-16,3657800
Oct-16,3762400
Nov-16,3426400
Dec-16,3278200
Jan-17,3508800
Feb-17,3150500
Mar-17,3783900
Apr-17,3545100
May-17,3602100
Jun-17,3605700
Jul-17,3788800
Aug-17,3562900
Sep-17,3566700
Oct-17,3604300
Nov-17,3300500
Dec-17,3194800
Jan-18,3393900
Feb-18,3130400
Mar-18,3749800
Apr-18,3548000
May-18,3630400
Jun-18,3565400
Jul-18,3659600
Aug-18,3555200
Sep-18,3457500
Oct-18,3680600
Nov-18,3478500
Dec-18,3267600
